drug_category,zat_aktif_pattern,zat_aktif_pattern_norm,match_type,source,notes
antikonvulsan,VALPROIC,VALPROIC,token_substring,curated_rule,anticonvulsant
ccb,AMLODIPINE,AMLODIPINE,token_substring,curated_rule,calcium channel blocker
ccb,DILTIAZEM,DILTIAZEM,token_substring,curated_rule,calcium channel blocker
ccb,LERCANIDIPINE,LERCANIDIPINE,token_substring,curated_rule,calcium channel blocker
ccb,NIFEDIPINE,NIFEDIPINE,token_substring,curated_rule,calcium channel blocker
ccb,VERAPAMIL,VERAPAMIL,token_substring,curated_rule,calcium channel blocker
glikosida_jantung,DIGOXIN,DIGOXIN,token_substring,curated_rule,cardiac glycoside
imunosupresan,AZATHIOPRINE,AZATHIOPRINE,token_substring,curated_rule,immunosuppressant
imunosupresan,CICLOSPORIN,CICLOSPORIN,token_substring,curated_rule,immunosuppressant
imunosupresan,CYCLOSPORINE,CYCLOSPORINE,token_substring,curated_rule,immunosuppressant
imunosupresan,METHOTREXATE,METHOTREXATE,token_substring,curated_rule,immunosuppressant
imunosupresan,MIKOFENOLAT,MIKOFENOLAT,token_substring,curated_rule,immunosuppressant
imunosupresan,MYCOPHENOLATE,MYCOPHENOLATE,token_substring,curated_rule,immunosuppressant
imunosupresan,SIROLIMUS,SIROLIMUS,token_substring,curated_rule,immunosuppressant
imunosupresan,TACROLIMUS,TACROLIMUS,token_substring,curated_rule,immunosuppressant
maoi,MOCLOBEMIDE,MOCLOBEMIDE,token_substring,curated_rule,monoamine oxidase inhibitor
maoi,PHENELZINE,PHENELZINE,token_substring,curated_rule,monoamine oxidase inhibitor
maoi,SELEGILINE,SELEGILINE,token_substring,curated_rule,monoamine oxidase inhibitor
nsaid,ACETYLSALICYLIC,ACETYLSALICYLIC,token_substring,curated_rule,NSAID/aspirin
nsaid,ASPIRIN,ASPIRIN,token_substring,curated_rule,NSAID/aspirin
nsaid,CELECOXIB,CELECOXIB,token_substring,curated_rule,NSAID
nsaid,DEXKETOPROFEN,DEXKETOPROFEN,token_substring,curated_rule,NSAID
nsaid,DICLOFENAC,DICLOFENAC,token_substring,curated_rule,NSAID
nsaid,ETORICOXIB,ETORICOXIB,token_substring,curated_rule,NSAID
nsaid,IBUPROFEN,IBUPROFEN,token_substring,curated_rule,NSAID
nsaid,KETOPROFEN,KETOPROFEN,token_substring,curated_rule,NSAID
nsaid,KETOROLAC,KETOROLAC,token_substring,curated_rule,NSAID
nsaid,MEFENAMIC,MEFENAMIC,token_substring,curated_rule,NSAID
nsaid,MELOXICAM,MELOXICAM,token_substring,curated_rule,NSAID
nsaid,NABUMETONE,NABUMETONE,token_substring,curated_rule,NSAID
nsaid,NAPROXEN,NAPROXEN,token_substring,curated_rule,NSAID
nsaid,PIROXICAM,PIROXICAM,token_substring,curated_rule,NSAID
statin,ATORVASTATIN,ATORVASTATIN,token_substring,curated_rule,HMG-CoA reductase inhibitor
statin,FLUVASTATIN,FLUVASTATIN,token_substring,curated_rule,HMG-CoA reductase inhibitor
statin,PITAVASTATIN,PITAVASTATIN,token_substring,curated_rule,HMG-CoA reductase inhibitor
statin,PRAVASTATIN,PRAVASTATIN,token_substring,curated_rule,HMG-CoA reductase inhibitor
statin,ROSUVASTATIN,ROSUVASTATIN,token_substring,curated_rule,HMG-CoA reductase inhibitor
statin,SIMVASTATIN,SIMVASTATIN,token_substring,curated_rule,HMG-CoA reductase inhibitor
tiroid,LEVOTHYROXINE,LEVOTHYROXINE,token_substring,curated_rule,thyroid hormone
tiroid,LEVOTIROKSIN,LEVOTIROKSIN,token_substring,curated_rule,thyroid hormone
tiroid,METHIMAZOLE,METHIMAZOLE,token_substring,curated_rule,antithyroid drug
tiroid,PROPYLTHIOURACIL,PROPYLTHIOURACIL,token_substring,curated_rule,antithyroid drug
tiroid,THIAMAZOLE,THIAMAZOLE,token_substring,curated_rule,antithyroid drug
xantin,AMINOFILIN,AMINOFILIN,token_substring,curated_rule,xanthine bronchodilator
xantin,AMINOPHYLLINE,AMINOPHYLLINE,token_substring,curated_rule,xanthine bronchodilator
xantin,CAFFEINE,CAFFEINE,token_substring,curated_rule,xanthine stimulant
xantin,KAFEIN,KAFEIN,token_substring,curated_rule,xanthine stimulant
xantin,TEOFILIN,TEOFILIN,token_substring,curated_rule,xanthine bronchodilator
xantin,THEOPHYLLINE,THEOPHYLLINE,token_substring,curated_rule,xanthine bronchodilator
